date,pm10(3hours),pm10(2hours),pm10(1hour),PM10
2015-01-01 0:00,44,38,97,57
2015-01-01 1:00,38,97,57,51
2015-01-01 2:00,97,57,51,72
2015-01-01 3:00,57,51,72,88
2015-01-01 4:00,51,72,88,106
2015-01-01 5:00,72,88,106,140
2015-01-01 6:00,88,106,140,157
2015-01-01 7:00,106,140,157,170
2015-01-01 8:00,140,157,170,163
2015-01-01 9:00,157,170,163,151
2015-01-01 10:00,170,163,151,116
2015-01-01 11:00,163,151,116,99
2015-01-01 12:00,151,116,99,74
2015-01-01 13:00,116,99,74,59
2015-01-01 14:00,99,74,59,46
2015-01-01 15:00,74,59,46,42
2015-01-01 16:00,59,46,42,42
2015-01-01 17:00,46,42,42,48
2015-01-01 18:00,42,42,48,45
2015-01-01 19:00,42,48,45,45
2015-01-01 20:00,48,45,45,47
2015-01-01 21:00,45,45,47,39
2015-01-01 22:00,45,47,39,37
2015-01-01 23:00,47,39,37,27
2015-01-02 0:00,39,37,27,29
2015-01-02 1:00,37,27,29,27
2015-01-02 2:00,27,29,27,23
2015-01-02 3:00,29,27,23,27
2015-01-02 4:00,27,23,27,25
2015-01-02 5:00,23,27,25,23
2015-01-02 6:00,27,25,23,25
2015-01-02 7:00,25,23,25,33
2015-01-02 8:00,23,25,33,27
2015-01-02 9:00,25,33,27,45
2015-01-02 10:00,33,27,45,56
2015-01-02 11:00,27,45,56,37
2015-01-02 12:00,45,56,37,43
2015-01-02 13:00,56,37,43,46
2015-01-02 14:00,37,43,46,45
2015-01-02 15:00,43,46,45,51
2015-01-02 16:00,46,45,51,54
2015-01-02 17:00,45,51,54,74
2015-01-02 18:00,51,54,74,65
2015-01-02 19:00,54,74,65,32
2015-01-02 20:00,74,65,32,46
2015-01-02 21:00,65,32,46,35
2015-01-02 22:00,32,46,35,31
2015-01-02 23:00,46,35,31,36
2015-01-03 0:00,35,31,36,35
2015-01-03 1:00,31,36,35,46
2015-01-03 2:00,36,35,46,38
2015-01-03 3:00,35,46,38,42
2015-01-03 4:00,46,38,42,41
2015-01-03 5:00,38,42,41,38
2015-01-03 6:00,42,41,38,33
2015-01-03 7:00,41,38,33,35
2015-01-03 8:00,38,33,35,39
2015-01-03 9:00,33,35,39,42
2015-01-03 10:00,35,39,42,49
2015-01-03 11:00,39,42,49,61
2015-01-03 12:00,42,49,61,46
2015-01-03 13:00,49,61,46,51
2015-01-03 14:00,61,46,51,52
2015-01-03 15:00,46,51,52,39
2015-01-03 16:00,51,52,39,45
2015-01-03 17:00,52,39,45,55
2015-01-03 18:00,39,45,55,34
2015-01-03 19:00,45,55,34,25
2015-01-03 20:00,55,34,25,27
2015-01-03 21:00,34,25,27,31
2015-01-03 22:00,25,27,31,23
2015-01-03 23:00,27,31,23,24
2015-01-04 0:00,31,23,24,22
2015-01-04 1:00,23,24,22,38
2015-01-04 2:00,24,22,38,37
2015-01-04 3:00,22,38,37,42
2015-01-04 4:00,38,37,42,41
2015-01-04 5:00,37,42,41,42
2015-01-04 6:00,42,41,42,39
2015-01-04 7:00,41,42,39,38
2015-01-04 8:00,42,39,38,36
2015-01-04 9:00,39,38,36,38
2015-01-04 10:00,38,36,38,35
2015-01-04 11:00,36,38,35,35
2015-01-04 12:00,38,35,35,41
2015-01-04 13:00,35,35,41,37
2015-01-04 14:00,35,41,37,35
2015-01-04 15:00,41,37,35,38
2015-01-04 16:00,37,35,38,44
2015-01-04 17:00,35,38,44,54
2015-01-04 18:00,38,44,54,53
2015-01-04 19:00,44,54,53,58
2015-01-04 20:00,54,53,58,61
2015-01-04 21:00,53,58,61,60
2015-01-04 22:00,58,61,60,55
2015-01-04 23:00,61,60,55,56
2015-01-05 0:00,60,55,56,58
2015-01-05 1:00,55,56,58,58
2015-01-05 2:00,56,58,58,74
2015-01-05 3:00,58,58,74,70
2015-01-05 4:00,58,74,70,73
2015-01-05 5:00,74,70,73,65
2015-01-05 6:00,70,73,65,57
2015-01-05 7:00,73,65,57,56
2015-01-05 8:00,65,57,56,58
2015-01-05 9:00,57,56,58,57
2015-01-05 10:00,56,58,57,56
2015-01-05 11:00,58,57,56,59
2015-01-05 12:00,57,56,59,62
2015-01-05 13:00,56,59,62,80
2015-01-05 14:00,59,62,80,86
2015-01-05 15:00,62,80,86,96
2015-01-05 16:00,80,86,96,99
2015-01-05 17:00,86,96,99,93
2015-01-05 18:00,96,99,93,95
2015-01-05 19:00,99,93,95,87
2015-01-05 20:00,93,95,87,89
2015-01-05 21:00,95,87,89,93
2015-01-05 22:00,87,89,93,103
2015-01-05 23:00,89,93,103,60
2015-01-06 0:00,93,103,60,87
2015-01-06 1:00,103,60,87,100
2015-01-06 2:00,60,87,100,110
2015-01-06 3:00,87,100,110,88
2015-01-06 4:00,100,110,88,74
2015-01-06 5:00,110,88,74,58
2015-01-06 6:00,88,74,58,40
2015-01-06 7:00,74,58,40,30
2015-01-06 8:00,58,40,30,27
2015-01-06 9:00,40,30,27,47
2015-01-06 10:00,30,27,47,60
2015-01-06 11:00,27,47,60,70
2015-01-06 12:00,47,60,70,63
2015-01-06 13:00,60,70,63,51
2015-01-06 14:00,70,63,51,51
2015-01-06 15:00,63,51,51,53
2015-01-06 16:00,51,51,53,49
2015-01-06 17:00,51,53,49,39
2015-01-06 18:00,53,49,39,35
2015-01-06 19:00,49,39,35,16
2015-01-06 20:00,39,35,16,20
2015-01-06 21:00,35,16,20,26
2015-01-06 22:00,16,20,26,25
2015-01-06 23:00,20,26,25,21
2015-01-07 0:00,26,25,21,16
2015-01-07 1:00,25,21,16,12
2015-01-07 2:00,21,16,12,17
2015-01-07 3:00,16,12,17,19
2015-01-07 4:00,12,17,19,17
2015-01-07 5:00,17,19,17,25
2015-01-07 6:00,19,17,25,28
2015-01-07 7:00,17,25,28,37
2015-01-07 8:00,25,28,37,42
2015-01-07 9:00,28,37,42,42
2015-01-07 10:00,37,42,42,52
2015-01-07 11:00,42,42,52,58
2015-01-07 12:00,42,52,58,56
2015-01-07 13:00,52,58,56,57
2015-01-07 14:00,58,56,57,52
2015-01-07 15:00,56,57,52,74
2015-01-07 16:00,57,52,74,58
2015-01-07 17:00,52,74,58,65
2015-01-07 18:00,74,58,65,48
2015-01-07 19:00,58,65,48,46
2015-01-07 20:00,65,48,46,45
2015-01-07 21:00,48,46,45,49
2015-01-07 22:00,46,45,49,51
2015-01-07 23:00,45,49,51,47
2015-01-08 0:00,49,51,47,51
2015-01-08 1:00,51,47,51,42
2015-01-08 2:00,47,51,42,55
2015-01-08 3:00,51,42,55,49
2015-01-08 4:00,42,55,49,51
2015-01-08 5:00,55,49,51,49
2015-01-08 6:00,49,51,49,48
2015-01-08 7:00,51,49,48,46
2015-01-08 8:00,49,48,46,44
2015-01-08 9:00,48,46,44,45
2015-01-08 10:00,46,44,45,55
2015-01-08 11:00,44,45,55,61
2015-01-08 12:00,45,55,61,52
2015-01-08 13:00,55,61,52,54
2015-01-08 14:00,61,52,54,53
2015-01-08 15:00,52,54,53,44
2015-01-08 16:00,54,53,44,58
2015-01-08 17:00,53,44,58,73
2015-01-08 18:00,44,58,73,63
2015-01-08 19:00,58,73,63,33
2015-01-08 20:00,73,63,33,37
2015-01-08 21:00,63,33,37,39
2015-01-08 22:00,33,37,39,44
2015-01-08 23:00,37,39,44,39
2015-01-09 0:00,39,44,39,35
2015-01-09 1:00,44,39,35,36
2015-01-09 2:00,39,35,36,40
2015-01-09 3:00,35,36,40,44
2015-01-09 4:00,36,40,44,35
2015-01-09 5:00,40,44,35,32
2015-01-09 6:00,44,35,32,35
2015-01-09 7:00,35,32,35,39
2015-01-09 8:00,32,35,39,44
2015-01-09 9:00,35,39,44,45
2015-01-09 10:00,39,44,45,54
2015-01-09 11:00,44,45,54,71
2015-01-09 12:00,45,54,71,64
2015-01-09 13:00,54,71,64,56
2015-01-09 14:00,71,64,56,52
2015-01-09 15:00,64,56,52,55
2015-01-09 16:00,56,52,55,55
2015-01-09 17:00,52,55,55,49
2015-01-09 18:00,55,55,49,46
2015-01-09 19:00,55,49,46,38
2015-01-09 20:00,49,46,38,42
2015-01-09 21:00,46,38,42,46
2015-01-09 22:00,38,42,46,42
2015-01-09 23:00,42,46,42,50
2015-01-10 0:00,46,42,50,37
2015-01-10 1:00,42,50,37,31
2015-01-10 2:00,50,37,31,42
2015-01-10 3:00,37,31,42,44
2015-01-10 4:00,31,42,44,48
2015-01-10 5:00,42,44,48,43
2015-01-10 6:00,44,48,43,47
2015-01-10 7:00,48,43,47,44
2015-01-10 8:00,43,47,44,51
2015-01-10 9:00,47,44,51,48
2015-01-10 10:00,44,51,48,50
2015-01-10 11:00,51,48,50,69
2015-01-10 12:00,48,50,69,63
2015-01-10 13:00,50,69,63,38
2015-01-10 14:00,69,63,38,35
2015-01-10 15:00,63,38,35,38
2015-01-10 16:00,38,35,38,25
2015-01-10 17:00,35,38,25,21
2015-01-10 18:00,38,25,21,23
2015-01-10 19:00,25,21,23,24
2015-01-10 20:00,21,23,24,25
2015-01-10 21:00,23,24,25,29
2015-01-10 22:00,24,25,29,27
2015-01-10 23:00,25,29,27,24
