date,pm10(2hours),pm10(1hour),PM10,temp,windspeed,winddir,humidity
2015-01-01 0:00,36,46,57,-6.9,6.1,290,31
2015-01-01 1:00,46,57,51,-7.4,4.7,290,33
2015-01-01 2:00,57,51,72,-8,4.5,290,35
2015-01-01 3:00,51,72,88,-8.4,3.8,290,37
2015-01-01 4:00,72,88,106,-8.8,4.9,290,35
2015-01-01 5:00,88,106,140,-9.1,5.7,290,35
2015-01-01 6:00,106,140,157,-9.3,5.3,290,36
2015-01-01 7:00,140,157,170,-9.5,4.5,290,38
2015-01-01 8:00,157,170,163,-9.8,6.1,270,42
2015-01-01 9:00,170,163,151,-9.5,5.1,290,41
2015-01-01 10:00,163,151,116,-8.6,5.4,290,38
2015-01-01 11:00,151,116,99,-7.9,4.5,290,36
2015-01-01 12:00,116,99,74,-6.7,4.2,290,33
2015-01-01 13:00,99,74,59,-6.2,6,320,33
2015-01-01 14:00,74,59,46,-5.4,5.7,290,34
2015-01-01 15:00,59,46,42,-4.3,4.4,270,33
2015-01-01 16:00,46,42,42,-4.6,5.2,250,36
2015-01-01 17:00,42,42,48,-5.7,4.9,250,39
2015-01-01 18:00,42,48,45,-6.7,4.2,250,44
2015-01-01 19:00,48,45,45,-7.2,5.4,290,46
2015-01-01 20:00,45,45,47,-7.7,2.4,290,49
2015-01-01 21:00,45,47,39,-8.3,3.2,290,52
2015-01-01 22:00,47,39,37,-8.5,5.5,290,50
2015-01-01 23:00,39,37,27,-8.6,4,270,52
2015-01-02 0:00,37,27,29,-8.7,2.4,270,55
2015-01-02 1:00,27,29,27,-8.6,1.1,340,57
2015-01-02 2:00,29,27,23,-8.5,1.8,270,56
2015-01-02 3:00,27,23,27,-8.6,1.7,250,57
2015-01-02 4:00,23,27,25,-8.5,2.2,250,59
2015-01-02 5:00,27,25,23,-8.4,1.7,270,59
2015-01-02 6:00,25,23,25,-8.3,2.9,270,59
2015-01-02 7:00,23,25,33,-8.8,1.6,270,63
2015-01-02 8:00,25,33,27,-8.9,1.5,290,63
2015-01-02 9:00,33,27,45,-7.6,3,270,54
2015-01-02 10:00,27,45,56,-6.7,2.7,290,48
2015-01-02 11:00,45,56,37,-5.3,3.4,270,43
2015-01-02 12:00,56,37,43,-3.8,5,270,37
2015-01-02 13:00,37,43,46,-3.4,6,290,34
2015-01-02 14:00,43,46,45,-2.8,5.8,290,31
2015-01-02 15:00,46,45,51,-2.2,5.1,290,28
2015-01-02 16:00,45,51,54,-2,5.1,270,29
2015-01-02 17:00,51,54,74,-3.1,4.3,270,32
2015-01-02 18:00,54,74,65,-4.2,4.7,270,34
2015-01-02 19:00,74,65,32,-4.7,4.6,270,38
2015-01-02 20:00,65,32,46,-5.2,3.1,290,42
2015-01-02 21:00,32,46,35,-5.7,2.4,320,46
2015-01-02 22:00,46,35,31,-6.2,2.6,290,47
2015-01-02 23:00,35,31,36,-6.6,2.6,320,50
2015-01-03 0:00,31,36,35,-7.3,3.1,270,52
2015-01-03 1:00,36,35,46,-8.1,2.1,270,56
2015-01-03 2:00,35,46,38,-8.2,0.6,270,56
2015-01-03 3:00,46,38,42,-8.4,1.1,320,57
2015-01-03 4:00,38,42,41,-8.9,0.8,360,59
2015-01-03 5:00,42,41,38,-9.2,1.9,50,55
2015-01-03 6:00,41,38,33,-9.1,0.4,0,54
2015-01-03 7:00,38,33,35,-8.9,0.4,0,57
2015-01-03 8:00,33,35,39,-8.8,1,20,60
2015-01-03 9:00,35,39,42,-7.6,2.5,50,58
2015-01-03 10:00,39,42,49,-5.5,2.3,50,53
2015-01-03 11:00,42,49,61,-3,2.5,70,43
2015-01-03 12:00,49,61,46,-1.4,2.4,70,38
2015-01-03 13:00,61,46,51,0,2.8,70,38
2015-01-03 14:00,46,51,52,1.6,1.8,70,37
2015-01-03 15:00,51,52,39,2.2,1,20,39
2015-01-03 16:00,52,39,45,2.4,2.6,230,49
2015-01-03 17:00,39,45,55,1.3,4.3,230,60
2015-01-03 18:00,45,55,34,1,1.6,230,63
2015-01-03 19:00,55,34,25,1,2.4,230,63
2015-01-03 20:00,34,25,27,1.1,3,230,64
2015-01-03 21:00,25,27,31,1,3.4,200,69
2015-01-03 22:00,27,31,23,0.9,2.9,230,73
2015-01-03 23:00,31,23,24,0.7,1,90,73
2015-01-04 0:00,23,24,22,0.7,0.6,140,71
2015-01-04 1:00,24,22,38,0.9,1.1,70,72
2015-01-04 2:00,22,38,37,0.9,2.2,70,70
2015-01-04 3:00,38,37,42,0.5,2.4,50,67
2015-01-04 4:00,37,42,41,0.3,2.8,50,67
2015-01-04 5:00,42,41,42,0.3,2.2,50,66
2015-01-04 6:00,41,42,39,0.2,3.5,70,66
2015-01-04 7:00,42,39,38,0.3,3,70,65
2015-01-04 8:00,39,38,36,0.4,3.1,50,66
2015-01-04 9:00,38,36,38,0.6,2.5,70,67
2015-01-04 10:00,36,38,35,1.3,3.2,50,65
2015-01-04 11:00,38,35,35,2.5,2.6,50,63
2015-01-04 12:00,35,35,41,3.4,2.3,50,59
2015-01-04 13:00,35,41,37,4.2,2.6,50,59
2015-01-04 14:00,41,37,35,5.6,0.8,90,58
2015-01-04 15:00,37,35,38,8.2,1.3,200,58
2015-01-04 16:00,35,38,44,8.2,1.8,200,61
2015-01-04 17:00,38,44,54,6.6,0.9,290,67
2015-01-04 18:00,44,54,53,4.9,1.1,290,73
2015-01-04 19:00,54,53,58,3.9,0.4,0,77
2015-01-04 20:00,53,58,61,2.9,1.2,50,81
2015-01-04 21:00,58,61,60,2.2,1.3,50,82
2015-01-04 22:00,61,60,55,1.3,1.9,50,86
2015-01-04 23:00,60,55,56,0.6,2.2,50,89
2015-01-05 0:00,55,56,58,0.3,2.7,50,89
2015-01-05 1:00,56,58,58,-0.3,2.4,50,92
2015-01-05 2:00,58,58,74,-0.5,1.7,20,95
2015-01-05 3:00,58,74,70,-0.7,2.3,50,95
2015-01-05 4:00,74,70,73,-0.9,2.6,20,95
2015-01-05 5:00,70,73,65,-0.9,2.7,70,94
2015-01-05 6:00,73,65,57,-0.5,3.3,70,90
2015-01-05 7:00,65,57,56,-0.2,3.4,70,87
2015-01-05 8:00,57,56,58,0,3.9,70,86
2015-01-05 9:00,56,58,57,0.6,3.4,70,82
2015-01-05 10:00,58,57,56,2.3,3,70,77
2015-01-05 11:00,57,56,59,4.2,3.7,70,70
2015-01-05 12:00,56,59,62,6,3.1,70,60
2015-01-05 13:00,59,62,80,6.2,3.6,70,60
2015-01-05 14:00,62,80,86,7.4,3.2,90,53
2015-01-05 15:00,80,86,96,7.9,2.3,70,52
2015-01-05 16:00,86,96,99,7.5,2.7,50,52
2015-01-05 17:00,96,99,93,7,2.9,50,53
2015-01-05 18:00,99,93,95,6.3,2,20,55
2015-01-05 19:00,93,95,87,6.1,0.5,20,53
2015-01-05 20:00,95,87,89,6,0.9,360,58
2015-01-05 21:00,87,89,93,6,1.6,320,62
2015-01-05 22:00,89,93,103,5.8,1.6,360,66
2015-01-05 23:00,93,103,60,5.1,2.8,270,77
2015-01-06 0:00,103,60,87,4.1,1.9,270,89
2015-01-06 1:00,60,87,100,3.1,3.1,320,94
2015-01-06 2:00,87,100,110,2.4,3.4,270,97
2015-01-06 3:00,100,110,88,1.7,3,270,98
2015-01-06 4:00,110,88,74,1.4,3.3,290,98
2015-01-06 5:00,88,74,58,0.9,4.5,270,94
2015-01-06 6:00,74,58,40,-0.1,5.8,290,83
2015-01-06 7:00,58,40,30,-1.8,5.4,290,76
2015-01-06 8:00,40,30,27,-3.3,5.8,290,67
2015-01-06 9:00,30,27,47,-4,5,290,53
2015-01-06 10:00,27,47,60,-3.7,5.1,290,47
2015-01-06 11:00,47,60,70,-3,4.4,290,38
2015-01-06 12:00,60,70,63,-2.9,5.3,290,36
2015-01-06 13:00,70,63,51,-2,4.7,290,32
2015-01-06 14:00,63,51,51,-1.5,5.5,290,32
2015-01-06 15:00,51,51,53,-1.5,5,290,29
2015-01-06 16:00,51,53,49,-1.5,5.3,270,29
2015-01-06 17:00,53,49,39,-3,4.5,290,31
2015-01-06 18:00,49,39,35,-4.5,1.6,50,33
2015-01-06 19:00,39,35,16,-5.4,4.1,320,38
2015-01-06 20:00,35,16,20,-6.2,3.9,290,42
2015-01-06 21:00,16,20,26,-6.7,3.7,320,45
2015-01-06 22:00,20,26,25,-7.2,3,20,44
2015-01-06 23:00,26,25,21,-7.4,3.3,360,42
2015-01-07 0:00,25,21,16,-7.6,2.7,340,42
2015-01-07 1:00,21,16,12,-7.8,2.5,270,40
2015-01-07 2:00,16,12,17,-8.3,1,250,41
2015-01-07 3:00,12,17,19,-8.7,0.7,270,40
2015-01-07 4:00,17,19,17,-8.5,2.6,270,39
2015-01-07 5:00,19,17,25,-8.5,2,270,40
2015-01-07 6:00,17,25,28,-8.4,3,270,37
2015-01-07 7:00,25,28,37,-8.8,1,290,37
2015-01-07 8:00,28,37,42,-8.6,3,270,35
2015-01-07 9:00,37,42,42,-7.8,2.7,290,34
2015-01-07 10:00,42,42,52,-6.4,3.3,320,31
2015-01-07 11:00,42,52,58,-5.2,3.9,290,30
2015-01-07 12:00,52,58,56,-3.3,1.9,270,26
2015-01-07 13:00,58,56,57,-2.2,3.2,270,26
2015-01-07 14:00,56,57,52,-1.9,3.4,290,24
2015-01-07 15:00,57,52,74,-1,2.9,270,24
2015-01-07 16:00,52,74,58,-1.1,2.5,290,24
2015-01-07 17:00,74,58,65,-2.3,3.5,290,27
2015-01-07 18:00,58,65,48,-3.5,1.4,340,30
2015-01-07 19:00,65,48,46,-3.9,2.7,340,31
2015-01-07 20:00,48,46,45,-4.3,3.2,320,34
2015-01-07 21:00,46,45,49,-4.7,4.2,340,33
2015-01-07 22:00,45,49,51,-5.2,3.6,320,34
2015-01-07 23:00,49,51,47,-6.2,2,270,41
2015-01-08 0:00,51,47,51,-6.4,2.2,290,41
2015-01-08 1:00,47,51,42,-6.9,2.3,290,44
2015-01-08 2:00,51,42,55,-7.6,1.4,270,47
2015-01-08 3:00,42,55,49,-8,2.1,270,50
2015-01-08 4:00,55,49,51,-8.2,2.5,270,52
2015-01-08 5:00,49,51,49,-8.7,2.3,270,55
2015-01-08 6:00,51,49,48,-8.6,1.5,270,57
2015-01-08 7:00,49,48,46,-9.2,0.6,270,57
2015-01-08 8:00,48,46,44,-9.2,0.9,340,57
2015-01-08 9:00,46,44,45,-8.2,2.3,270,46
2015-01-08 10:00,44,45,55,-5.8,2.7,320,35
2015-01-08 11:00,45,55,61,-5.2,4.3,290,33
2015-01-08 12:00,55,61,52,-3.4,3.3,270,30
2015-01-08 13:00,61,52,54,-2,3.8,270,30
2015-01-08 14:00,52,54,53,-1.5,3.1,270,28
2015-01-08 15:00,54,53,44,-0.2,3.8,250,27
2015-01-08 16:00,53,44,58,-0.7,3.1,290,28
2015-01-08 17:00,44,58,73,-1.3,3.4,290,32
2015-01-08 18:00,58,73,63,-2.8,2.5,270,41
2015-01-08 19:00,73,63,33,-3.4,1.6,270,45
2015-01-08 20:00,63,33,37,-4.1,1.1,320,48
2015-01-08 21:00,33,37,39,-4.2,1.7,290,53
2015-01-08 22:00,37,39,44,-4.7,1.4,290,58
2015-01-08 23:00,39,44,39,-4.8,0.8,320,62
2015-01-09 0:00,44,39,35,-5.3,0.9,320,62
2015-01-09 1:00,39,35,36,-5,1.2,290,66
2015-01-09 2:00,35,36,40,-5.1,1.2,290,64
2015-01-09 3:00,36,40,44,-5.4,1.2,270,65
2015-01-09 4:00,40,44,35,-5.8,1,290,61
2015-01-09 5:00,44,35,32,-6.1,1,270,65
2015-01-09 6:00,35,32,35,-6.2,0.8,270,66
2015-01-09 7:00,32,35,39,-6.5,0.7,20,66
2015-01-09 8:00,35,39,44,-6.8,2.5,20,70
